"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-01-15","VT","B",163,,1,,,,45,0,,6,274734,1542,,,,,,9734,9481,161,0,,,,,,6506,,0,788759,9581,,,,,284215,1698,788759,9581
"2021-01-15","WA","A",3876,,38,,16080,16080,1105,0,,202,3881571,22355,,,,,93,283777,271643,2575,0,,,,,,,4153214,24797,4153214,24797,,,,,,0,,0
"2021-01-15","WI","A+",5770,5322,42,448,22923,22923,998,119,2117,229,2427631,5771,,,,,,563866,518251,2706,0,,,,,,485157,5745570,29446,5745570,29446,,,,,2945882,8040,,0
"2021-01-15","WV","B",1733,1488,31,245,,,717,0,,195,1626083,20245,,,,,102,106649,85713,1430,0,,,,,,77900,,0,1732732,21675,28144,,,,,0,1711796,21389
"2021-01-15","WY","B",522,,0,,1211,1211,89,4,,,164801,2173,,,507680,,,48909,41773,208,0,,,,,42087,46502,,0,549805,7489,,,,,206574,2318,549805,7489
"2021-01-14","AK","A",228,,2,,1149,1149,81,11,,,1332741,11109,,,1321433,,10,49535,,332,0,,,,,59332,7165,,0,1382276,11441,,,,,,0,1382276,11441
"2021-01-14","AL","A",5945,4977,185,968,38450,38450,2850,221,2470,,1669962,7366,,,,1412,,414583,329731,3588,0,,,,,,221961,,0,1999693,9969,,,94965,,1999693,9969,,0
"2021-01-14","AR","A+",4228,3495,42,733,12503,12503,1295,89,,426,2019645,12685,,,2019645,1329,241,264511,214199,2491,0,,,,59307,,235513,,0,2233844,14420,,,,302836,,0,2233844,14420
"2021-01-14","AS","N/A",0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
"2021-01-14","AZ","A+",10855,9778,182,1077,45260,45260,4930,397,,1167,2539745,14858,,,,,821,649040,613302,7311,0,,,,,,88666,,0,5854089,65768,401958,,,,3153047,21312,5854089,65768
